region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Goiás,2020-03-13,0,7,-7,3,17,-1
Goiás,2020-03-14,-2,7,-8,0,7,0
Goiás,2020-03-15,-5,8,-1,-3,3,1
Goiás,2020-03-16,-9,7,-6,-7,11,2
Goiás,2020-03-17,-13,10,-9,-11,-1,5
Goiás,2020-03-18,-20,6,-16,-18,-8,8
Goiás,2020-03-19,-41,1,-22,-26,-19,12
Goiás,2020-03-20,-54,-4,-38,-38,-27,17
Goiás,2020-03-21,-68,-19,-49,-47,-36,18
Goiás,2020-03-22,-73,-35,-56,-57,-34,17
Goiás,2020-03-23,-67,-26,-42,-53,-43,22
Goiás,2020-03-24,-68,-30,-42,-56,-51,24
Goiás,2020-03-25,-69,-32,-45,-58,-52,24
Goiás,2020-03-26,-67,-27,-36,-53,-51,24
Goiás,2020-03-27,-67,-24,-42,-53,-47,24
Goiás,2020-03-28,-70,-28,-51,-54,-41,19
Goiás,2020-03-29,-67,-27,-44,-50,-28,15
Goiás,2020-03-30,-57,-21,-31,-47,-40,20
Goiás,2020-03-31,-55,-17,-26,-45,-42,20
Goiás,2020-04-01,-54,-15,-28,-45,-42,20
Goiás,2020-04-02,-54,-13,-24,-44,-42,20
Goiás,2020-04-03,-56,-10,-32,-44,-38,21
Goiás,2020-04-04,-59,-11,-38,-41,-32,16
Goiás,2020-04-05,-61,-18,-37,-45,-25,13
Goiás,2020-04-06,-49,-13,-31,-43,-32,17
Goiás,2020-04-07,-46,-7,-26,-39,-35,17
Goiás,2020-04-08,-45,-4,-25,-38,-36,16
Goiás,2020-04-09,-42,9,-14,-35,-39,15
Goiás,2020-04-10,-70,-28,-30,-51,-70,26
Goiás,2020-04-11,-56,-4,-32,-39,-35,13
Goiás,2020-04-12,-59,-17,-36,-41,-22,8
Goiás,2020-04-13,-47,-14,-28,-39,-30,15
Goiás,2020-04-14,-50,-18,-35,-44,-35,17
Goiás,2020-04-15,-48,-13,-32,-41,-34,17
Goiás,2020-04-16,-49,-12,-32,-42,-35,18
Goiás,2020-04-17,-51,-8,-36,-42,-31,19
Goiás,2020-04-18,-59,-13,-47,-44,-26,15
Goiás,2020-04-19,-62,-16,-44,-46,-21,13
Goiás,2020-04-20,-46,-10,-28,-41,-33,16
Goiás,2020-04-21,-65,-29,-33,-51,-63,23
Goiás,2020-04-22,-42,-13,-31,-39,-26,15
Goiás,2020-04-23,-42,-10,-27,-36,-27,16
Goiás,2020-04-24,-45,-7,-32,-36,-23,16
Goiás,2020-04-25,-49,-7,-36,-33,-17,13
Goiás,2020-04-26,-55,-13,-35,-37,-14,11
Goiás,2020-04-27,-41,-11,-25,-35,-19,15
Goiás,2020-04-28,-39,-9,-22,-32,-23,12
Goiás,2020-04-29,-38,-8,-23,-33,-23,15
Goiás,2020-04-30,-33,8,-12,-26,-23,12
Goiás,2020-05-01,-62,-11,-21,-41,-60,22
Goiás,2020-05-02,-49,-4,-27,-33,-22,12
Goiás,2020-05-03,-54,-13,-28,-34,-12,9
Goiás,2020-05-04,-37,-4,-22,-30,-16,13
Goiás,2020-05-05,-34,-1,-16,-27,-20,14
Goiás,2020-05-06,-33,1,-21,-27,-20,14
Goiás,2020-05-07,-32,8,-18,-25,-21,14
Goiás,2020-05-08,-32,14,-21,-23,-16,13
Goiás,2020-05-09,-33,18,-26,-18,-10,10
Goiás,2020-05-10,-42,16,-28,-14,8,6
Goiás,2020-05-11,-34,-1,-21,-28,-16,13
Goiás,2020-05-12,-32,1,-16,-26,-19,14
Goiás,2020-05-13,-35,-4,-21,-30,-19,14
Goiás,2020-05-14,-37,-3,-20,-31,-21,13
Goiás,2020-05-15,-39,2,-24,-29,-16,15
Goiás,2020-05-16,-44,2,-30,-26,-11,12
Goiás,2020-05-17,-52,-7,-30,-31,-5,10
Goiás,2020-05-18,-37,-7,-22,-31,-14,14
Goiás,2020-05-19,-38,-5,-18,-28,-18,14
Goiás,2020-05-20,-42,0,-17,-25,-18,15
Goiás,2020-05-21,-42,3,-12,-24,-19,15
Goiás,2020-05-22,-46,7,-20,-22,-15,14
Goiás,2020-05-23,-52,2,-30,-23,-10,12
Goiás,2020-05-24,-62,-5,-36,-31,-6,11
Goiás,2020-05-25,-42,0,-21,-26,-13,14
Goiás,2020-05-26,-41,0,-17,-23,-15,14
Goiás,2020-05-27,-41,2,-18,-23,-15,14
Goiás,2020-05-28,-41,5,-14,-22,-16,14
Goiás,2020-05-29,-41,14,-18,-19,-12,14
Goiás,2020-05-30,-46,13,-24,-16,-3,11
Goiás,2020-05-31,-56,3,-21,-21,2,9
Goiás,2020-06-01,-39,7,-16,-21,-10,13
Goiás,2020-06-02,-37,6,-11,-19,-14,14
Goiás,2020-06-03,-38,6,-14,-20,-14,14
Goiás,2020-06-04,-37,10,-9,-18,-14,13
Goiás,2020-06-05,-35,21,-14,-16,-10,13
Goiás,2020-06-06,-40,20,-19,-12,-3,10
Goiás,2020-06-07,-50,8,-16,-19,4,9
Goiás,2020-06-08,-35,9,-14,-19,-9,13
Goiás,2020-06-09,-33,7,-11,-17,-14,13
Goiás,2020-06-10,-28,16,-9,-15,-14,11
Goiás,2020-06-11,-53,-3,-4,-33,-54,21
Goiás,2020-06-12,-31,22,-8,-22,-22,14
Goiás,2020-06-13,-46,5,-18,-24,-7,11
Goiás,2020-06-14,-53,-3,-17,-25,3,8
Goiás,2020-06-15,-36,4,-16,-24,-10,13
Goiás,2020-06-16,-35,3,-13,-23,-14,14
Goiás,2020-06-17,-36,2,-17,-25,-15,14
Goiás,2020-06-18,-37,3,-14,-24,-16,13
Goiás,2020-06-19,-39,9,-19,-22,-12,13
Goiás,2020-06-20,-43,10,-23,-20,-2,10
Goiás,2020-06-21,-52,0,-20,-26,5,9
Goiás,2020-06-22,-36,1,-18,-25,-11,13
Goiás,2020-06-23,-34,2,-12,-22,-15,14
Goiás,2020-06-24,-35,0,-16,-24,-15,14
Goiás,2020-06-25,-35,5,-12,-24,-15,14
Goiás,2020-06-26,-38,9,-18,-23,-12,14
Goiás,2020-06-27,-43,9,-23,-21,-4,11
Goiás,2020-06-28,-53,-1,-22,-28,1,10
Goiás,2020-06-29,-34,4,-17,-25,-10,14
Goiás,2020-06-30,-32,9,-13,-25,-15,14
Goiás,2020-07-01,-36,11,-18,-26,-17,14
Goiás,2020-07-02,-36,15,-14,-25,-20,15
Goiás,2020-07-03,-37,21,-17,-24,-15,14
Goiás,2020-07-04,-46,14,-24,-24,-9,12
Goiás,2020-07-05,-56,-2,-23,-29,-3,10
Goiás,2020-07-06,-37,12,-13,-26,-16,14
Goiás,2020-07-07,-34,15,-8,-22,-20,14
Goiás,2020-07-08,-36,11,-13,-25,-19,14
Goiás,2020-07-09,-36,14,-9,-24,-20,14
Goiás,2020-07-10,-37,19,-14,-22,-16,14
Maranhão,2020-02-15,-3,0,-8,-7,2,1
Maranhão,2020-02-16,-3,2,-8,-6,1,2
Maranhão,2020-02-17,-4,-3,-6,-7,12,1
Maranhão,2020-02-18,0,4,1,-2,13,-1
Maranhão,2020-02-19,-3,0,-8,0,10,0
Maranhão,2020-02-20,-2,6,-2,2,10,0
Maranhão,2020-02-21,-1,10,-14,10,9,0
Maranhão,2020-02-22,-3,12,-4,18,-3,0
Maranhão,2020-02-23,-1,9,47,-8,-1,-1
Maranhão,2020-02-24,-20,-7,71,-40,-46,6
Maranhão,2020-02-25,-29,-25,68,-34,-57,6
Maranhão,2020-02-26,-19,-16,12,-8,-35,5
Maranhão,2020-02-27,-11,-2,-8,-5,5,2
Maranhão,2020-02-28,-8,3,-16,-14,9,2
Maranhão,2020-02-29,-7,6,-24,-14,3,4
Maranhão,2020-03-01,-10,4,-16,-8,0,5
Maranhão,2020-03-02,-4,4,-4,-5,14,0
Maranhão,2020-03-03,-5,3,-9,-6,13,0
Maranhão,2020-03-04,-4,4,-10,-1,12,0
Maranhão,2020-03-05,-5,4,-5,-2,12,0
Maranhão,2020-03-06,2,8,-9,-3,15,0
Maranhão,2020-03-07,2,10,-20,-9,5,2
Maranhão,2020-03-08,5,9,-13,-8,5,2
Maranhão,2020-03-09,-11,-7,-15,-6,14,1
Maranhão,2020-03-10,3,10,-2,-4,15,-2
Maranhão,2020-03-11,-1,3,-10,-2,13,-1
Maranhão,2020-03-12,-5,2,-7,-3,13,0
Maranhão,2020-03-13,-6,0,-17,-4,14,0
Maranhão,2020-03-14,-7,3,-27,-12,4,2
Maranhão,2020-03-15,-13,2,-22,-13,0,4
Maranhão,2020-03-16,-10,1,-12,-12,10,0
Maranhão,2020-03-17,-10,10,-11,-11,2,1
Maranhão,2020-03-18,-16,5,-19,-16,-6,4
Maranhão,2020-03-19,-27,1,-25,-23,-12,6
Maranhão,2020-03-20,-34,1,-40,-29,-13,8
Maranhão,2020-03-21,-50,1,-51,-40,-15,9
Maranhão,2020-03-22,-64,-18,-56,-55,-22,11
Maranhão,2020-03-23,-60,-18,-43,-58,-37,14
Maranhão,2020-03-24,-64,-27,-49,-62,-45,15
Maranhão,2020-03-25,-66,-30,-53,-64,-48,17
Maranhão,2020-03-26,-64,-26,-46,-64,-45,15
Maranhão,2020-03-27,-63,-25,-51,-66,-43,16
Maranhão,2020-03-28,-63,-23,-51,-64,-33,13
Maranhão,2020-03-29,-63,-27,-48,-66,-20,11
Maranhão,2020-03-30,-56,-20,-40,-64,-38,14
Maranhão,2020-03-31,-55,-18,-41,-60,-38,14
